record_type,time_sec,color,x,y,z,scenario,count_red,count_green,count_blue,count_total,extra_notes
clear,2.11,,-3.86,0.05,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating at maximum speed."
clear,85.20,,2.92,4.39,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating at maximum speed."
obstacle,88.71,,3.29,4.48,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.79
obstacle,88.80,,3.31,4.48,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.79
obstacle,88.90,,3.32,4.49,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.79
obstacle,89.01,,3.32,4.49,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.79
obstacle,89.10,,3.35,4.50,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.71
obstacle,89.20,,3.36,4.50,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.71
obstacle,89.32,,3.37,4.50,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.71
obstacle,89.42,,3.37,4.50,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.68
obstacle,89.52,,3.38,4.51,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.68
obstacle,89.61,,3.38,4.51,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.68
obstacle,89.70,,3.39,4.51,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.68
obstacle,89.80,,3.40,4.51,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.66
obstacle,89.91,,3.40,4.52,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.66
obstacle,90.01,,3.40,4.52,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.66
obstacle,90.10,,3.41,4.52,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.66
obstacle,90.20,,3.41,4.52,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.65
obstacle,90.31,,3.42,4.52,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.65
obstacle,90.40,,3.42,4.52,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.65
obstacle,90.51,,3.42,4.52,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.62
obstacle,90.61,,3.43,4.53,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.62
obstacle,90.71,,3.43,4.53,0.00,AdaptiveCoverage_Obstacles,,,,,Steering right due to obstacle. Front min: 0.62
