record_type,time_sec,color,x,y,z,scenario,count_red,count_green,count_blue,count_total,extra_notes
DETECTION,6.35,green,-2.89,2.79,0.07,reversing_demo,,,,,
DETECTION,6.35,red,0.39,2.59,0.07,reversing_demo,,,,,
DETECTION,12.63,blue,3.99,2.98,0.07,reversing_demo,,,,,
DETECTION,18.96,red,1.89,3.16,0.01,reversing_demo,,,,,
DETECTION,18.98,blue,6.69,3.43,0.02,reversing_demo,,,,,
DETECTION,138.53,red,5.12,-2.81,0.07,reversing_demo,,,,,
DETECTION,148.66,blue,4.20,1.55,0.00,reversing_demo,,,,,
DETECTION,160.55,green,4.18,-2.89,0.01,reversing_demo,,,,,
DETECTION,160.56,red,4.93,-1.37,0.09,reversing_demo,,,,,
DETECTION,168.63,green,4.26,-0.49,0.07,reversing_demo,,,,,
DETECTION,192.03,green,3.93,-1.59,0.01,reversing_demo,,,,,
DETECTION,199.26,red,5.41,-4.94,0.02,reversing_demo,,,,,
DETECTION,230.15,red,5.20,-3.78,0.01,reversing_demo,,,,,
DETECTION,289.31,red,-4.22,-2.64,0.03,reversing_demo,,,,,
DETECTION,296.66,red,-2.13,-3.14,0.07,reversing_demo,,,,,
DETECTION,304.70,red,-101.53,28.85,-6.61,reversing_demo,,,,,
SUMMARY,316.54,,,,,reversing_demo,9,4,3,16,Run completed or interrupted.
