record_type,time_sec,color,x,y,z,scenario,count_red,count_green,count_blue,count_total,extra_notes
red,12.28,,0.47,2.39,0.07,reversing_demo,,,,,
blue,12.28,,1.85,0.18,0.07,reversing_demo,,,,,
blue,12.29,,-0.86,-1.03,0.08,reversing_demo,,,,,
blue,17.85,,0.14,0.37,0.11,reversing_demo,,,,,
red,17.85,,2.38,3.81,0.01,reversing_demo,,,,,
blue,20.69,,4.09,2.67,0.07,reversing_demo,,,,,
red,27.18,,1.57,3.22,0.01,reversing_demo,,,,,
blue,27.19,,6.68,3.59,0.02,reversing_demo,,,,,
red,38.54,,1.00,2.76,0.00,reversing_demo,,,,,
red,121.81,,5.42,-4.65,0.05,reversing_demo,,,,,
blue,127.00,,4.09,1.64,0.01,reversing_demo,,,,,
green,137.45,,4.29,-1.05,0.05,reversing_demo,,,,,
red,140.76,,5.16,-2.80,0.07,reversing_demo,,,,,
green,150.55,,4.07,-2.54,0.01,reversing_demo,,,,,
red,153.05,,5.50,-5.43,0.02,reversing_demo,,,,,
SUMMARY,260.61,,,,,reversing_demo,7,2,6,15,Run completed or interrupted.
