record_type,time_sec,color,x,y,z,scenario,count_red,count_green,count_blue,count_total,extra_notes
obstacle,0.67,,-3.97,-3.67,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.60 m): steering right
obstacle,0.83,,-3.97,-3.67,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.60 m): steering right
obstacle,0.93,,-3.97,-3.67,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.60 m): steering right
obstacle,1.01,,-3.97,-3.67,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.60 m): steering right
obstacle,1.10,,-3.97,-3.67,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.60 m): steering right
obstacle,1.21,,-3.96,-3.67,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.59 m): steering right
obstacle,1.29,,-3.96,-3.66,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.59 m): steering right
obstacle,1.40,,-3.96,-3.66,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.59 m): steering right
obstacle,1.59,,-3.95,-3.65,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.62 m): steering right
obstacle,1.68,,-3.95,-3.65,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.62 m): steering right
obstacle,1.73,,-3.95,-3.65,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.62 m): steering right
obstacle,1.79,,-3.95,-3.65,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.62 m): steering right
obstacle,1.89,,-3.94,-3.64,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.62 m): steering right
obstacle,2.01,,-3.93,-3.64,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.64 m): steering right
obstacle,2.10,,-3.93,-3.63,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.64 m): steering right
obstacle,2.20,,-3.92,-3.62,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.64 m): steering right
obstacle,2.30,,-3.91,-3.61,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.67 m): steering right
obstacle,2.39,,-3.90,-3.61,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.67 m): steering right
obstacle,2.50,,-3.89,-3.60,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.67 m): steering right
obstacle,2.59,,-3.88,-3.59,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.70 m): steering right
obstacle,2.71,,-3.88,-3.58,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.70 m): steering right
obstacle,2.82,,-3.86,-3.56,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.70 m): steering right
obstacle,2.90,,-3.85,-3.55,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.73 m): steering right
obstacle,3.03,,-3.85,-3.55,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.73 m): steering right
obstacle,3.11,,-3.84,-3.54,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.73 m): steering right
obstacle,3.20,,-3.83,-3.53,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.73 m): steering right
obstacle,3.30,,-3.82,-3.51,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.73 m): steering right
obstacle,3.40,,-3.81,-3.50,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.76 m): steering right
obstacle,3.53,,-3.80,-3.49,0.00,AdaptiveCoverage_Obstacles,,,,,Obstacle on left (min 0.76 m): steering right
