record_type,time_sec,color,x,y,z,scenario,count_red,count_green,count_blue,count_total,extra_notes
clear,0.10,,-3.86,0.05,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,0.21,,-3.86,0.05,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,0.40,,-3.86,0.05,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,0.42,,-3.86,0.05,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,0.67,,-3.86,0.05,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,1.01,,-3.86,0.05,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,1.06,,-3.86,0.05,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,1.17,,-3.86,0.05,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,1.29,,-3.86,0.05,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,1.31,,-3.86,0.05,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,1.41,,-3.85,0.04,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,1.57,,-3.84,0.04,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,1.66,,-3.84,0.04,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,1.78,,-3.84,0.04,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,1.81,,-3.84,0.04,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,1.92,,-3.83,0.04,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,2.03,,-3.82,0.04,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,2.14,,-3.82,0.04,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,2.29,,-3.81,0.04,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,2.31,,-3.81,0.04,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,2.42,,-3.80,0.04,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,2.50,,-3.80,0.04,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,2.77,,-3.79,0.03,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,2.82,,-3.79,0.03,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,2.91,,-3.77,0.03,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,3.01,,-3.76,0.03,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,3.13,,-3.75,0.03,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,3.24,,-3.74,0.02,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,3.32,,-3.73,0.02,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,3.40,,-3.71,0.02,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,3.50,,-3.70,0.02,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,3.60,,-3.68,0.01,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,3.77,,-3.67,0.01,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,3.83,,-3.66,0.01,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,3.91,,-3.64,0.00,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,4.00,,-3.62,0.00,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,4.10,,-3.61,-0.00,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,4.21,,-3.60,-0.00,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,4.33,,-3.59,-0.01,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,4.43,,-3.58,-0.01,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,4.51,,-3.56,-0.01,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,4.60,,-3.54,-0.02,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,4.70,,-3.53,-0.02,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,4.81,,-3.51,-0.03,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,4.90,,-3.50,-0.03,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,5.01,,-3.47,-0.03,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,5.10,,-3.46,-0.04,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,5.21,,-3.44,-0.04,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,5.32,,-3.43,-0.05,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,5.41,,-3.42,-0.05,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,5.52,,-3.41,-0.05,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,5.67,,-3.40,-0.06,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,5.71,,-3.38,-0.06,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,5.81,,-3.38,-0.06,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,5.90,,-3.36,-0.07,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,6.03,,-3.34,-0.07,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,6.12,,-3.33,-0.08,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,6.22,,-3.31,-0.08,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,6.31,,-3.29,-0.09,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,6.40,,-3.28,-0.09,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,6.50,,-3.27,-0.10,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,6.62,,-3.25,-0.10,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,6.72,,-3.24,-0.11,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,6.80,,-3.22,-0.11,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,6.90,,-3.21,-0.12,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,7.00,,-3.19,-0.13,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,7.13,,-3.17,-0.13,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,7.22,,-3.16,-0.14,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,7.30,,-3.16,-0.14,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,7.40,,-3.14,-0.15,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,7.50,,-3.12,-0.15,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,7.60,,-3.11,-0.16,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,7.78,,-3.09,-0.17,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,7.82,,-3.08,-0.17,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,7.91,,-3.07,-0.17,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,8.00,,-3.06,-0.18,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,8.11,,-3.04,-0.19,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,8.22,,-3.02,-0.20,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,8.31,,-3.02,-0.20,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,8.44,,-3.01,-0.20,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,8.54,,-3.00,-0.21,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,8.62,,-2.99,-0.21,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,8.71,,-2.98,-0.22,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,8.80,,-2.97,-0.22,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,8.95,,-2.95,-0.23,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,9.06,,-2.95,-0.23,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,9.11,,-2.94,-0.24,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,9.22,,-2.92,-0.25,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,9.31,,-2.91,-0.25,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,9.42,,-2.89,-0.26,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,9.51,,-2.89,-0.26,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,9.62,,-2.87,-0.27,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,9.72,,-2.86,-0.28,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,9.81,,-2.85,-0.28,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,9.90,,-2.84,-0.29,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,10.01,,-2.83,-0.29,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,10.11,,-2.82,-0.30,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,10.21,,-2.81,-0.31,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,10.30,,-2.80,-0.31,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,10.55,,-2.79,-0.31,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,10.62,,-2.78,-0.32,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,10.72,,-2.77,-0.33,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,10.83,,-2.77,-0.33,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,10.93,,-2.76,-0.33,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,11.00,,-2.74,-0.34,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,11.10,,-2.73,-0.35,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,11.21,,-2.71,-0.36,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,11.31,,-2.70,-0.37,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,11.41,,-2.68,-0.38,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,11.53,,-2.67,-0.39,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,11.61,,-2.66,-0.39,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,11.71,,-2.65,-0.40,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,11.81,,-2.64,-0.40,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,11.90,,-2.62,-0.41,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,12.00,,-2.61,-0.42,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,12.11,,-2.60,-0.43,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,12.21,,-2.59,-0.43,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,12.31,,-2.58,-0.44,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,12.40,,-2.56,-0.46,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,12.50,,-2.55,-0.47,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,12.66,,-2.53,-0.48,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,12.72,,-2.52,-0.48,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,12.82,,-2.52,-0.49,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,12.92,,-2.51,-0.50,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,13.01,,-2.49,-0.51,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,13.24,,-2.49,-0.51,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,13.40,,-2.49,-0.51,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,13.40,,-2.49,-0.51,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,13.50,,-2.47,-0.53,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,13.63,,-2.45,-0.53,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,13.73,,-2.44,-0.54,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,13.81,,-2.43,-0.55,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,13.91,,-2.42,-0.56,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,14.00,,-2.40,-0.57,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,14.12,,-2.39,-0.58,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,14.20,,-2.38,-0.59,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,14.30,,-2.37,-0.60,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,14.41,,-2.36,-0.60,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,14.51,,-2.34,-0.62,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,14.64,,-2.33,-0.63,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,14.71,,-2.32,-0.63,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,14.80,,-2.31,-0.64,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,14.90,,-2.30,-0.65,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,15.00,,-2.29,-0.66,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,15.11,,-2.28,-0.66,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,15.21,,-2.27,-0.67,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,15.31,,-2.25,-0.69,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,15.44,,-2.25,-0.69,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,15.50,,-2.25,-0.69,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,15.61,,-2.24,-0.70,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,15.71,,-2.23,-0.71,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,15.86,,-2.21,-0.73,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,15.91,,-2.21,-0.73,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,16.00,,-2.19,-0.75,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,16.11,,-2.18,-0.76,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,16.21,,-2.17,-0.77,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,16.33,,-2.16,-0.78,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,16.40,,-2.15,-0.79,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,16.50,,-2.14,-0.80,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,16.61,,-2.13,-0.80,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,16.71,,-2.11,-0.81,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,16.81,,-2.10,-0.82,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,16.90,,-2.08,-0.83,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,17.01,,-2.07,-0.84,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,17.13,,-2.06,-0.85,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,17.21,,-2.05,-0.85,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,17.34,,-2.02,-0.87,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,17.41,,-2.02,-0.87,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,17.51,,-2.01,-0.87,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
clear,17.61,,-1.99,-0.88,0.00,AdaptiveCoverage_Obstacles,,,,,"Path clear, accelerating."
