record_type,time_sec,color,x,y,z,scenario,count_red,count_green,count_blue,count_total,extra_notes
impact,0.20,,4.16,4.03,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.08 m – turning right.
impact,0.34,,4.16,4.03,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.08 m – turning right.
impact,0.40,,4.16,4.03,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.08 m – turning right.
impact,0.51,,4.16,4.03,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,0.64,,4.16,4.03,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,0.72,,4.15,4.02,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,0.84,,4.15,4.02,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,0.93,,4.15,4.02,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,1.00,,4.15,4.02,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,1.10,,4.15,4.02,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,1.26,,4.15,4.02,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,1.41,,4.15,4.02,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,1.51,,4.15,4.01,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,2.01,,4.15,4.01,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,2.13,,4.15,4.00,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,2.22,,4.15,4.00,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,2.31,,4.15,4.00,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,2.62,,4.15,4.00,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,2.77,,4.14,3.99,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,2.82,,4.14,3.99,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,2.96,,4.14,3.98,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,3.06,,4.14,3.98,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,3.10,,4.14,3.97,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.09 m – turning right.
impact,3.21,,4.13,3.96,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.10 m – turning right.
impact,3.31,,4.13,3.95,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.10 m – turning right.
impact,3.55,,4.13,3.95,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.10 m – turning right.
impact,3.74,,4.13,3.95,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.10 m – turning right.
impact,3.82,,4.11,3.92,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.12 m – turning right.
impact,3.92,,4.10,3.90,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.12 m – turning right.
impact,4.02,,4.10,3.88,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.15 m – turning right.
impact,4.11,,4.09,3.87,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.15 m – turning right.
impact,4.20,,4.09,3.86,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.15 m – turning right.
impact,4.30,,4.08,3.84,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.18 m – turning right.
impact,4.43,,4.07,3.83,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.18 m – turning right.
impact,4.53,,4.07,3.82,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.18 m – turning right.
impact,4.64,,4.06,3.80,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.18 m – turning right.
impact,4.71,,4.06,3.80,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.21 m – turning right.
impact,4.80,,4.05,3.79,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.21 m – turning right.
impact,4.91,,4.04,3.77,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.21 m – turning right.
impact,5.01,,4.03,3.75,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.24 m – turning right.
impact,5.11,,4.02,3.73,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.24 m – turning right.
impact,5.20,,4.02,3.72,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.24 m – turning right.
impact,5.30,,4.01,3.71,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.24 m – turning right.
impact,5.42,,4.00,3.68,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.27 m – turning right.
impact,5.51,,3.99,3.68,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.27 m – turning right.
impact,5.61,,3.98,3.66,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.27 m – turning right.
impact,5.71,,3.98,3.65,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.30 m – turning right.
impact,5.80,,3.98,3.64,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.30 m – turning right.
impact,5.91,,3.97,3.63,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.30 m – turning right.
impact,6.01,,3.96,3.62,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.30 m – turning right.
impact,6.16,,3.95,3.59,0.00,AdaptiveCoverage_Obstacles,,,,,Impact alert: obstacle on left at 1.32 m – turning right.
