record_type,time_sec,color,x,y,z,scenario,count_red,count_green,count_blue,count_total,extra_notes
blue,9.74,,-0.86,-1.05,0.07,reversing_demo,,,,,
green,9.75,,1.23,-2.63,0.07,reversing_demo,,,,,
red,12.58,,5.25,-2.58,0.07,reversing_demo,,,,,
green,20.40,,2.57,-3.14,0.00,reversing_demo,,,,,
red,20.42,,7.02,-3.20,0.04,reversing_demo,,,,,
green,23.42,,4.10,-0.48,0.07,reversing_demo,,,,,
blue,28.62,,3.50,1.27,0.01,reversing_demo,,,,,
green,28.63,,6.38,-0.07,0.03,reversing_demo,,,,,
blue,31.53,,5.19,3.82,0.04,reversing_demo,,,,,
blue,34.05,,1.77,0.31,0.07,reversing_demo,,,,,
blue,34.05,,3.96,2.84,0.07,reversing_demo,,,,,
red,42.49,,1.22,4.71,0.01,reversing_demo,,,,,
red,48.35,,0.29,2.50,0.07,reversing_demo,,,,,
green,56.16,,-2.92,2.71,0.07,reversing_demo,,,,,
green,61.81,,-3.63,4.50,0.03,reversing_demo,,,,,
red,161.66,,-2.38,3.44,0.12,reversing_demo,,,,,
red,194.88,,1.14,2.34,0.00,reversing_demo,,,,,
green,194.88,,2.56,-5.28,0.01,reversing_demo,,,,,
blue,194.88,,3.77,-1.29,0.01,reversing_demo,,,,,
green,194.89,,6.26,-1.79,0.04,reversing_demo,,,,,
blue,210.88,,2.20,-0.15,0.00,reversing_demo,,,,,
red,210.88,,2.89,-0.51,0.13,reversing_demo,,,,,
green,219.24,,5.48,-1.31,0.00,reversing_demo,,,,,
red,219.25,,5.97,-3.75,0.04,reversing_demo,,,,,
green,233.04,,1.09,-4.25,0.01,reversing_demo,,,,,
red,235.88,,-2.73,-3.53,0.05,reversing_demo,,,,,
red,238.51,,-2.19,-3.00,0.07,reversing_demo,,,,,
blue,250.63,,-1.99,-1.85,0.01,reversing_demo,,,,,
red,250.65,,-3.27,-4.05,0.04,reversing_demo,,,,,
green,268.11,,-5.14,3.85,0.01,reversing_demo,,,,,
green,279.09,,-4.51,3.42,0.01,reversing_demo,,,,,
blue,337.00,,6.34,2.18,0.03,reversing_demo,,,,,
green,357.05,,6.32,-2.74,0.02,reversing_demo,,,,,
blue,376.05,,5.17,2.79,0.00,reversing_demo,,,,,
red,376.08,,6.29,-4.94,0.03,reversing_demo,,,,,
red,428.05,,4.90,-4.11,0.00,reversing_demo,,,,,
green,451.04,,-0.87,-2.57,0.01,reversing_demo,,,,,
green,475.08,,3.39,0.31,0.01,reversing_demo,,,,,
blue,475.09,,2.96,5.78,0.01,reversing_demo,,,,,
blue,475.09,,-0.12,1.53,0.01,reversing_demo,,,,,
blue,475.09,,-4.14,-0.60,0.01,reversing_demo,,,,,
blue,477.76,,3.45,5.41,0.01,reversing_demo,,,,,
blue,505.99,,0.42,0.83,0.01,reversing_demo,,,,,
red,505.99,,-1.34,3.80,0.03,reversing_demo,,,,,
blue,505.99,,-3.24,-1.26,0.02,reversing_demo,,,,,
green,519.89,,-0.43,-3.65,0.01,reversing_demo,,,,,
red,528.01,,-5.37,-4.36,0.02,reversing_demo,,,,,
red,579.28,,-3.97,-2.46,0.01,reversing_demo,,,,,
blue,594.62,,-1.63,1.03,0.01,reversing_demo,,,,,
blue,597.39,,-1.30,0.22,0.01,reversing_demo,,,,,
green,610.51,,-3.91,5.21,0.01,reversing_demo,,,,,
red,704.77,,2.97,1.56,0.02,reversing_demo,,,,,
blue,733.71,,4.37,-1.07,0.01,reversing_demo,,,,,
green,733.72,,3.47,-5.09,0.02,reversing_demo,,,,,
red,738.12,,2.23,2.24,0.01,reversing_demo,,,,,
blue,738.14,,1.04,-3.64,0.01,reversing_demo,,,,,
blue,738.17,,7.37,3.01,0.03,reversing_demo,,,,,
blue,742.63,,0.35,-3.49,0.01,reversing_demo,,,,,
green,742.66,,1.90,-3.49,0.06,reversing_demo,,,,,
green,761.68,,3.54,-5.99,0.01,reversing_demo,,,,,
green,849.69,,0.09,2.03,0.12,reversing_demo,,,,,
blue,863.13,,4.25,-1.77,0.02,reversing_demo,,,,,
blue,908.61,,-1.22,-2.78,0.01,reversing_demo,,,,,
red,908.61,,-1.38,-0.90,0.11,reversing_demo,,,,,
blue,922.28,,-0.88,-1.75,0.00,reversing_demo,,,,,
red,922.29,,-3.07,-5.01,0.01,reversing_demo,,,,,
red,930.09,,-2.60,-4.34,0.01,reversing_demo,,,,,
green,1006.42,,3.47,-1.71,0.01,reversing_demo,,,,,
blue,1006.42,,3.03,1.75,0.05,reversing_demo,,,,,
blue,1016.74,,-0.06,0.24,0.01,reversing_demo,,,,,
green,1019.35,,2.80,-1.43,0.01,reversing_demo,,,,,
red,1061.02,,6.88,-2.38,0.04,reversing_demo,,,,,
green,1063.68,,6.13,1.51,0.01,reversing_demo,,,,,
blue,1099.82,,4.24,4.58,0.01,reversing_demo,,,,,
red,1128.74,,-0.53,3.37,0.01,reversing_demo,,,,,
green,1128.75,,-6.05,3.95,0.01,reversing_demo,,,,,
green,1150.79,,-4.86,2.90,0.01,reversing_demo,,,,,
red,1173.80,,-3.58,-5.67,0.02,reversing_demo,,,,,
green,1185.09,,1.63,-4.89,0.01,reversing_demo,,,,,
blue,1190.26,,2.39,-0.75,0.00,reversing_demo,,,,,
