record_type,time_sec,color,x,y,z,scenario,count_red,count_green,count_blue,count_total,extra_notes
DETECTION,9.11,blue,1.79,0.41,0.07,reversing_demo,,,,,
DETECTION,9.11,red,0.72,2.34,0.07,reversing_demo,,,,,
DETECTION,9.11,red,-0.70,-0.05,0.08,reversing_demo,,,,,
DETECTION,19.68,blue,4.12,2.59,0.07,reversing_demo,,,,,
DETECTION,40.04,red,2.37,2.59,0.00,reversing_demo,,,,,
DETECTION,48.18,red,1.73,2.34,0.00,reversing_demo,,,,,
DETECTION,48.23,blue,1.34,2.51,0.13,reversing_demo,,,,,
DETECTION,136.13,red,5.02,-2.57,0.08,reversing_demo,,,,,
DETECTION,155.54,green,4.13,-2.75,0.02,reversing_demo,,,,,
DETECTION,161.26,red,5.41,-3.77,0.06,reversing_demo,,,,,
DETECTION,175.09,green,4.22,-0.68,0.06,reversing_demo,,,,,
DETECTION,180.43,green,3.87,-1.81,0.00,reversing_demo,,,,,
DETECTION,180.44,red,5.36,-5.01,0.02,reversing_demo,,,,,
DETECTION,185.03,red,5.50,-5.66,0.01,reversing_demo,,,,,
DETECTION,241.34,red,5.18,-3.18,0.00,reversing_demo,,,,,
DETECTION,319.23,blue,-5.63,-2.44,0.02,reversing_demo,,,,,
DETECTION,324.94,blue,-2.15,-3.23,0.07,reversing_demo,,,,,
DETECTION,351.35,blue,-4.46,-2.05,0.01,reversing_demo,,,,,
DETECTION,448.97,green,-2.85,2.71,0.08,reversing_demo,,,,,
DETECTION,465.09,green,-2.37,5.08,0.03,reversing_demo,,,,,
DETECTION,489.79,green,-2.89,3.32,0.06,reversing_demo,,,,,
DETECTION,606.72,red,2.93,1.22,0.01,reversing_demo,,,,,
DETECTION,621.94,blue,4.92,-2.49,0.01,reversing_demo,,,,,
DETECTION,630.75,red,0.60,-1.93,0.01,reversing_demo,,,,,
DETECTION,630.76,blue,4.50,-1.46,0.01,reversing_demo,,,,,
DETECTION,630.76,blue,7.26,2.52,0.01,reversing_demo,,,,,
DETECTION,630.76,green,3.36,-5.25,0.02,reversing_demo,,,,,
DETECTION,641.22,red,2.19,1.71,0.01,reversing_demo,,,,,
DETECTION,641.22,red,-0.03,-1.93,0.01,reversing_demo,,,,,
DETECTION,641.23,green,2.70,-5.56,0.02,reversing_demo,,,,,
DETECTION,644.85,blue,3.67,-1.09,0.01,reversing_demo,,,,,
DETECTION,644.93,green,1.31,-2.56,0.07,reversing_demo,,,,,
DETECTION,644.93,green,7.01,-2.29,0.02,reversing_demo,,,,,
DETECTION,661.81,green,2.16,-4.44,0.01,reversing_demo,,,,,
DETECTION,661.85,blue,3.21,-0.20,0.01,reversing_demo,,,,,
DETECTION,661.86,red,8.54,-5.10,0.01,reversing_demo,,,,,
DETECTION,667.79,blue,2.50,0.08,0.00,reversing_demo,,,,,
DETECTION,667.79,green,2.16,0.03,0.13,reversing_demo,,,,,
DETECTION,667.80,red,7.48,-4.45,0.02,reversing_demo,,,,,
DETECTION,677.49,red,6.00,-3.47,0.04,reversing_demo,,,,,
DETECTION,680.49,red,6.74,-3.96,0.01,reversing_demo,,,,,
DETECTION,739.19,blue,-4.99,-2.79,0.02,reversing_demo,,,,,
DETECTION,749.88,green,-0.05,-2.10,0.01,reversing_demo,,,,,
DETECTION,749.89,red,-3.23,1.85,0.01,reversing_demo,,,,,
DETECTION,761.94,red,-2.45,1.30,0.01,reversing_demo,,,,,
DETECTION,761.95,red,-0.25,5.09,0.01,reversing_demo,,,,,
DETECTION,764.98,blue,1.60,1.73,0.00,reversing_demo,,,,,
DETECTION,784.59,red,-1.33,0.67,0.01,reversing_demo,,,,,
DETECTION,790.39,green,-4.48,4.29,0.01,reversing_demo,,,,,
DETECTION,801.38,green,-3.86,4.48,0.01,reversing_demo,,,,,
DETECTION,861.82,blue,-1.88,-4.76,0.01,reversing_demo,,,,,
DETECTION,870.20,green,2.81,-3.70,0.03,reversing_demo,,,,,
DETECTION,893.39,red,7.57,-3.37,0.02,reversing_demo,,,,,
DETECTION,932.48,red,7.06,-2.43,0.03,reversing_demo,,,,,
DETECTION,946.69,green,1.73,-2.13,0.00,reversing_demo,,,,,
DETECTION,946.69,green,6.33,1.24,0.01,reversing_demo,,,,,
DETECTION,946.70,blue,5.68,5.77,0.01,reversing_demo,,,,,
DETECTION,949.58,blue,2.47,2.05,0.01,reversing_demo,,,,,
DETECTION,949.59,blue,5.02,4.93,0.03,reversing_demo,,,,,
DETECTION,965.35,green,5.41,0.79,0.03,reversing_demo,,,,,
DETECTION,1000.63,blue,4.96,4.32,0.03,reversing_demo,,,,,
DETECTION,1003.66,blue,2.82,3.57,0.01,reversing_demo,,,,,
DETECTION,1015.51,blue,1.57,-2.50,0.21,reversing_demo,,,,,
DETECTION,1015.51,green,2.86,-1.67,0.09,reversing_demo,,,,,
DETECTION,1024.15,red,-4.41,4.76,-0.09,reversing_demo,,,,,
DETECTION,1041.16,red,0.58,4.88,0.01,reversing_demo,,,,,
DETECTION,1058.66,green,4.89,-0.31,0.00,reversing_demo,,,,,
DETECTION,1092.07,red,-2.35,0.43,0.01,reversing_demo,,,,,
DETECTION,1092.07,green,-4.21,3.66,0.04,reversing_demo,,,,,
DETECTION,1111.67,green,-5.13,4.46,0.01,reversing_demo,,,,,
DETECTION,1159.62,green,4.15,-0.18,0.54,reversing_demo,,,,,
DETECTION,1159.62,red,5.34,-2.40,0.65,reversing_demo,,,,,
SUMMARY,1164.62,,,,,reversing_demo,27,24,21,72,Run completed or interrupted.
