record_type,time_sec,color,x,y,z,scenario,count_red,count_green,count_blue,count_total,extra_notes
DETECTION,4.53,green,1.25,-2.50,0.07,reversing_demo,,,,,
DETECTION,4.53,red,0.73,2.32,0.08,reversing_demo,,,,,
DETECTION,4.55,blue,1.79,0.38,0.08,reversing_demo,,,,,
DETECTION,4.59,red,-0.70,-0.07,0.08,reversing_demo,,,,,
DETECTION,10.04,red,2.66,3.44,0.02,reversing_demo,,,,,
DETECTION,10.04,blue,4.72,0.65,0.01,reversing_demo,,,,,
DETECTION,10.05,red,1.50,-0.12,0.01,reversing_demo,,,,,
DETECTION,31.01,red,2.20,2.45,0.00,reversing_demo,,,,,
DETECTION,38.66,blue,4.02,2.91,0.07,reversing_demo,,,,,
DETECTION,109.48,blue,4.26,1.69,0.01,reversing_demo,,,,,
DETECTION,114.75,red,5.11,-2.81,0.07,reversing_demo,,,,,
DETECTION,117.18,green,4.19,-0.63,0.06,reversing_demo,,,,,
DETECTION,135.04,green,4.02,-2.09,0.01,reversing_demo,,,,,
DETECTION,135.04,red,5.52,-5.32,0.02,reversing_demo,,,,,
DETECTION,180.06,red,5.22,-4.08,0.01,reversing_demo,,,,,
DETECTION,245.43,blue,-5.69,-2.40,0.01,reversing_demo,,,,,
DETECTION,253.37,blue,-4.97,-2.37,0.02,reversing_demo,,,,,
DETECTION,255.96,blue,-2.13,-3.15,0.07,reversing_demo,,,,,
DETECTION,364.38,green,-2.87,2.71,0.07,reversing_demo,,,,,
DETECTION,369.86,green,-2.72,5.05,0.04,reversing_demo,,,,,
DETECTION,390.10,green,-2.14,5.23,0.02,reversing_demo,,,,,
DETECTION,473.32,blue,4.72,-1.39,0.01,reversing_demo,,,,,
DETECTION,490.08,red,2.18,1.14,0.01,reversing_demo,,,,,
DETECTION,490.08,red,-0.53,-2.13,0.01,reversing_demo,,,,,
DETECTION,490.08,blue,0.73,0.48,0.09,reversing_demo,,,,,
DETECTION,490.09,blue,2.78,2.27,0.09,reversing_demo,,,,,
DETECTION,490.09,green,1.69,-5.87,0.02,reversing_demo,,,,,
DETECTION,505.21,green,2.07,-4.56,0.01,reversing_demo,,,,,
DETECTION,505.26,green,6.73,-1.79,0.01,reversing_demo,,,,,
DETECTION,510.01,blue,2.92,-0.08,0.01,reversing_demo,,,,,
DETECTION,512.42,green,2.64,-0.04,0.11,reversing_demo,,,,,
DETECTION,512.42,red,7.87,-4.59,0.02,reversing_demo,,,,,
DETECTION,527.90,red,6.61,-3.62,0.01,reversing_demo,,,,,
DETECTION,583.12,green,0.15,-2.44,0.00,reversing_demo,,,,,
DETECTION,583.13,red,-2.90,1.50,0.01,reversing_demo,,,,,
DETECTION,583.14,blue,-5.27,-3.15,0.01,reversing_demo,,,,,
DETECTION,583.14,green,-0.35,0.67,0.12,reversing_demo,,,,,
DETECTION,588.04,red,-0.11,4.86,0.01,reversing_demo,,,,,
DETECTION,590.64,blue,1.52,1.48,0.01,reversing_demo,,,,,
DETECTION,590.65,red,-2.18,0.86,0.01,reversing_demo,,,,,
DETECTION,593.28,red,0.63,2.93,0.05,reversing_demo,,,,,
DETECTION,593.28,green,-5.22,5.03,0.02,reversing_demo,,,,,
DETECTION,598.82,red,0.99,1.22,0.09,reversing_demo,,,,,
DETECTION,598.82,green,-6.07,5.02,0.01,reversing_demo,,,,,
DETECTION,606.59,red,-1.51,0.46,0.01,reversing_demo,,,,,
DETECTION,608.94,green,-4.71,4.40,0.02,reversing_demo,,,,,
DETECTION,626.72,green,-3.39,3.64,0.24,reversing_demo,,,,,
DETECTION,649.35,green,-3.73,4.27,0.01,reversing_demo,,,,,
DETECTION,665.38,red,1.96,3.65,0.01,reversing_demo,,,,,
DETECTION,684.24,blue,4.10,2.67,-0.56,reversing_demo,,,,,
DETECTION,713.13,blue,-2.87,-4.77,0.12,reversing_demo,,,,,
SUMMARY,717.51,,,,,reversing_demo,19,17,15,51,Run completed or interrupted.
