record_type,time_sec,color,x,y,z,scenario,count_red,count_green,count_blue,count_total,extra_notes
DETECTION,12.75,blue,1.84,0.47,0.07,reversing_demo,,,,,
DETECTION,12.75,red,0.75,2.38,0.07,reversing_demo,,,,,
DETECTION,12.76,red,0.76,4.49,0.13,reversing_demo,,,,,
DETECTION,12.76,red,1.89,4.52,0.22,reversing_demo,,,,,
DETECTION,12.76,red,-0.25,4.47,0.22,reversing_demo,,,,,
DETECTION,12.81,red,-1.00,4.45,0.31,reversing_demo,,,,,
DETECTION,12.82,red,3.27,4.55,0.50,reversing_demo,,,,,
DETECTION,12.87,red,4.16,4.61,1.38,reversing_demo,,,,,
DETECTION,12.88,red,1.39,4.54,1.18,reversing_demo,,,,,
DETECTION,12.92,red,0.63,4.51,1.46,reversing_demo,,,,,
DETECTION,17.75,blue,4.06,2.74,0.06,reversing_demo,,,,,
DETECTION,17.75,red,4.31,4.31,0.79,reversing_demo,,,,,
DETECTION,17.76,red,3.27,4.31,1.48,reversing_demo,,,,,
DETECTION,17.76,red,-0.85,4.37,1.08,reversing_demo,,,,,
DETECTION,20.49,red,2.48,3.09,0.00,reversing_demo,,,,,
DETECTION,20.53,blue,6.73,3.77,0.02,reversing_demo,,,,,
DETECTION,20.54,red,5.70,6.12,0.10,reversing_demo,,,,,
DETECTION,20.55,red,1.60,5.40,0.11,reversing_demo,,,,,
DETECTION,20.58,red,3.35,5.71,0.24,reversing_demo,,,,,
DETECTION,20.61,red,0.18,5.15,0.22,reversing_demo,,,,,
DETECTION,20.61,red,6.40,5.67,0.50,reversing_demo,,,,,
DETECTION,20.62,red,2.04,5.48,0.61,reversing_demo,,,,,
DETECTION,20.64,red,3.09,5.67,1.01,reversing_demo,,,,,
DETECTION,20.67,red,6.41,5.63,1.51,reversing_demo,,,,,
DETECTION,20.68,red,81.03,60.87,17.79,reversing_demo,,,,,
DETECTION,20.68,red,-0.99,4.94,0.76,reversing_demo,,,,,
DETECTION,20.69,red,70.34,70.53,21.13,reversing_demo,,,,,
DETECTION,20.70,red,61.16,78.83,30.38,reversing_demo,,,,,
DETECTION,20.72,red,18.18,117.70,43.20,reversing_demo,,,,,
DETECTION,23.02,red,92.95,47.41,15.00,reversing_demo,,,,,
DETECTION,23.02,red,82.59,57.86,18.01,reversing_demo,,,,,
DETECTION,23.02,red,2.58,5.30,1.49,reversing_demo,,,,,
DETECTION,23.03,red,55.53,85.17,29.15,reversing_demo,,,,,
DETECTION,30.15,red,2.54,4.44,0.40,reversing_demo,,,,,
DETECTION,30.15,red,1.31,4.42,0.41,reversing_demo,,,,,
DETECTION,30.15,red,5.61,4.49,0.69,reversing_demo,,,,,
DETECTION,30.16,red,5.65,4.49,1.47,reversing_demo,,,,,
DETECTION,30.17,red,2.62,4.44,1.16,reversing_demo,,,,,
DETECTION,39.78,red,3.90,4.45,0.31,reversing_demo,,,,,
DETECTION,39.80,red,0.48,4.39,0.79,reversing_demo,,,,,
DETECTION,42.58,red,1.92,4.42,1.49,reversing_demo,,,,,
DETECTION,45.03,blue,6.04,2.93,0.01,reversing_demo,,,,,
DETECTION,54.82,red,6.99,4.47,0.10,reversing_demo,,,,,
DETECTION,54.82,red,4.90,4.57,0.37,reversing_demo,,,,,
DETECTION,54.87,red,109.60,19.26,27.48,reversing_demo,,,,,
DETECTION,54.91,red,103.51,28.67,48.99,reversing_demo,,,,,
DETECTION,91.21,red,6.67,4.56,0.63,reversing_demo,,,,,
DETECTION,99.99,red,5.46,4.39,0.11,reversing_demo,,,,,
DETECTION,100.00,red,4.84,4.39,1.15,reversing_demo,,,,,
DETECTION,117.79,red,104.69,20.35,41.29,reversing_demo,,,,,
DETECTION,117.80,red,107.08,14.70,44.19,reversing_demo,,,,,
DETECTION,127.02,red,6.52,4.60,1.30,reversing_demo,,,,,
DETECTION,127.02,red,114.70,13.35,45.32,reversing_demo,,,,,
DETECTION,157.64,red,6.21,4.40,0.13,reversing_demo,,,,,
DETECTION,162.94,blue,3.24,4.36,0.17,reversing_demo,,,,,
DETECTION,221.43,red,-49.51,40.00,87.29,reversing_demo,,,,,
DETECTION,221.43,red,-24.04,85.15,85.09,reversing_demo,,,,,
DETECTION,221.44,red,-32.70,93.96,64.97,reversing_demo,,,,,
DETECTION,221.44,red,-57.63,52.25,64.97,reversing_demo,,,,,
DETECTION,221.44,red,3.63,5.03,0.68,reversing_demo,,,,,
DETECTION,221.44,red,-42.16,67.93,73.78,reversing_demo,,,,,
DETECTION,221.45,red,-77.58,31.20,54.33,reversing_demo,,,,,
DETECTION,221.45,red,-73.92,50.30,43.12,reversing_demo,,,,,
DETECTION,221.45,red,-94.99,22.26,36.89,reversing_demo,,,,,
DETECTION,221.45,red,-50.57,85.04,46.86,reversing_demo,,,,,
DETECTION,221.46,red,-68.82,66.60,36.41,reversing_demo,,,,,
DETECTION,221.47,red,-66.01,62.59,43.50,reversing_demo,,,,,
DETECTION,221.47,red,-95.72,39.05,19.21,reversing_demo,,,,,
DETECTION,221.47,red,-111.41,16.49,15.79,reversing_demo,,,,,
DETECTION,221.48,red,-124.65,5.05,5.85,reversing_demo,,,,,
DETECTION,221.48,red,-126.22,5.47,3.02,reversing_demo,,,,,
DETECTION,221.48,red,-114.59,25.14,2.82,reversing_demo,,,,,
DETECTION,221.48,red,-95.37,52.99,6.82,reversing_demo,,,,,
SUMMARY,223.82,,,,,reversing_demo,68,0,5,73,Run completed or interrupted.
